dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
220,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΒΟΛΟΣ),2ο,EL613,"Magnisia, Sporades",0.0,16000.0,1.0,16.025,15300,False,15664.0
1212,ΕΦΑΡΜΟΣΜΕΝΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ - ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,16705.0,1.2,3.616,16900,True,15606.0
232,ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ),2ο,EL632,Achaia,0.5,18690.0,1.2,3.13,15400,False,15602.0
357,ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.0,14410.0,0.8,3.616,16900,True,15581.0
253,ΦΥΣΙΚΗΣ (ΑΘΗΝΑ),2ο,EL303,Kentrikos Tomeas Athinon,0.592814371257485,14513.0,1.2,7.859,38500,True,15417.0
246,ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ ΚΑΙ ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΑΘΗΝΑ),2ο,EL303,Kentrikos Tomeas Athinon,0.0,15860.0,1.2,7.859,38500,True,15364.0
110,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.116751269035533,11838.0,1.05,7.859,38500,True,15306.0
140,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,15950.0,0.8,3.616,16900,True,15262.0
1613,ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),3ο,EL522,Thessaloniki,0.0,13850.0,1.0,3.616,16900,True,15241.0
126,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ,1ο,EL303,Kentrikos Tomeas Athinon,0.0,13860.0,0.9,7.859,38500,True,15163.0
412,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΜΑΤΙΚΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,16320.0,1.2,7.859,38500,True,15139.0
154,ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,14800.0,0.8,7.859,38500,True,15092.0
402,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΣΕΡΡΕΣ),4ο,EL526,Serres,0.0,13729.0,0.8,2.099,12500,False,15017.0
337,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,13525.0,1.2,3.616,16900,True,14917.0
331,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΧΑΝΙΑ),2ο,EL434,Chania,0.34,14648.0,1.2,59.685,16800,False,14880.0
